Name,Technologies
52°North Initiative for Geospatial Open Source Software GmbH,"['web services', 'ogc standards', 'java', 'javascript', 'web']"
AboutCode,"['python', 'c/c++', 'javascript', ' shell script', 'static analysis']"
AerospaceResearch.net,"['python', 'c/c++', 'vhdl', 'boinc']"
aimacode,"['python', ' javascript', 'machine learning', 'artificial intelligence', 'java']"
Amahi,"[' android', 'golang', 'restful api', 'streaming', 'ruby on rails']"
AOSSIE - Australian Open Source Software Innovation and Education,"['scala', 'javascript/html/css', 'automated reasoning', 'android/ios', 'xcode']"
Apache Software Foundation,"['java', 'c', 'erlang']"
Apertium,"['c++', 'xml', 'python', 'nlp']"
Apertus Association,"['fpga', 'vhdl', 'c', 'linux', 'c++']"
appleseedhq,"['c++', 'python', 'qt']"
ArduPilot,"['c++', 'python', 'embedded', 'rtos', 'ros']"
Babel,"['javascript', 'babel', 'nodejs']"
Bazel,"['java', 'linux', 'go']"
BeagleBoard.org Foundation,"['javascript', 'linux', 'beaglebone', 'python', 'c']"
Beam Community,"['erlang', 'elixir', 'lisp', 'xmpp']"
BeeWare Project,"['python', 'mobile', 'ios', 'android']"
Berkman Klein Center for Internet and Society at Harvard University,"['ruby on rails', 'meteor.js', 'd3', 'elasticsearch', 'javascript ']"
Blender Foundation,"['opengl', 'opencl', 'python', 'c', 'c++']"
Boost C++ Libraries,"['c++', 'c++11', 'c++14', 'boost']"
Boston University / XIA,"['xia', ' linux kernel', ' c', ' advanced data structures']"
BRL-CAD,"['c/c++', 'opencl', 'python', 'javascript', 'qt']"
Cadasta,"['python', 'django', 'javasc', 'javascipt']"
Catrobat,"['android', 'java', 'html5', 'ios', 'web']"
cBioPortal for Cancer Genomics,"[' javascript', 'java', 'web', 'reactjs', 'web services']"
CCExtractor Development,"['c', 'python', 'raspberry pi', 'linux', 'visual studio']"
Ceph,"['c++', 'python', 'object-storage']"
CERN-HSF,"['python', 'c/c++', 'machine learning', 'data analysis', 'parallel algorithms']"
Chapel,"['chapel', 'python', 'high performance computing', 'c', 'c++']"
Checker Framework,['java']
Checkstyle,"[' java', 'antlr']"
Classical Language Toolkit,"[' python', 'javascript']"
"CLiPS, University of Antwerp","['python', 'machine learning', 'mongodb', 'javascript ']"
Clojure,"['clojure', 'clojurescript', 'jvm', 'javascript', 'functional programming']"
Cloud Native Computing Foundation (CNCF),"['kubernetes', 'go', 'prometheus', 'fluentd', 'grpc']"
CloudCV,"[' python', 'django', 'angularjs', 'reactjs', ' deep learning']"
CMU Sphinx,"['c', 'cross-platform', 'hidden markov models', 'javascript ', ' python']"
coala,['python']
Computational Biology @ University of Nebraska-Lincoln,"['javascript', 'react', 'java', 'webgl', 'mysql']"
Conversations.im,"['xmpp', 'java', 'android', 'javafx', 'python']"
Copyleft Games,"['python', 'opengl', 'javascript', 'c', 'xmpp']"
DBpedia,"[' java', 'scala', 'graph', 'nosql', 'rdf']"
Discourse,"['ruby on rails', 'ember', ' ruby', 'javascipt', 'html/css']"
Django Software Foundation,"['python', 'django']"
Drupal,"['php', ' symfony', ' sql', ' javascript', ' drupal 8']"
Eclipse Vert.x,"['java', 'reactive extensions', 'kotlin', 'microservices', 'event-loop']"
Elm Software Foundation,"['elm', 'javascript', 'haskell']"
